"osm_id";"addr_stree";"addr_house";"name";"wheelchair";"operator";"school_fr";"ref_uai";"ref";"fee";"capacity";"building";"amenity";"operator_t";"osm_user";"osm_timest";"tags";"objectid";"nb_carte_scol"
427618105;NA;NA;"École primaire Ludwig Van Beethoven";NA;NA;"élémentaire";"0342317J";NA;NA;NA;NA;"school";"public";NA;"2021-11-24T11:18:54Z";"""name""=>""École primaire Ludwig Van Beethoven"", ""phone""=>""+33467276671"", ""amenity""=>""school"", ""osm_uid""=>""0"", ""ref:UAI""=>""0342317J"", ""osm_user""=>"""", ""way_area""=>""7724.93"", ""school:FR""=>""élémentaire"", ""description""=>""canton 4 circonscription 1"", ""osm_versi";1007;1
559720245;NA;NA;"École primaire Germaine Richier";NA;NA;"primaire";NA;NA;NA;NA;NA;"school";"public";NA;"2021-11-15T22:41:19Z";"""name""=>""École primaire Germaine Richier"", ""amenity""=>""school"", ""osm_uid""=>""0"", ""osm_user""=>"""", ""way_area""=>""3105.28"", ""school:FR""=>""primaire"", ""start_date""=>""09/2018"", ""osm_version""=>""7"", ""operator:type""=>""public"", ""osm_changeset""=>""0"", ""osm_timestamp""=";1008;1
457189356;"Chemin des Barques";"10";"École maternelle Geneviève de Gaulle Anthonioz";"yes";NA;"maternelle";"0342152E";NA;NA;NA;NA;"school";"public";NA;"2020-10-29T13:07:10Z";"""name""=>""École maternelle Geneviève de Gaulle Anthonioz"", ""phone""=>""+33499922170"", ""amenity""=>""school"", ""osm_uid""=>""0"", ""ref:UAI""=>""0342152E"", ""osm_user""=>"""", ""way_area""=>""1751.67"", ""school:FR""=>""maternelle"", ""wheelchair""=>""yes"", ""addr:street""=>""Chemin d";1009;1
388332987;NA;NA;"École primaire Michel de l'Hospital";NA;NA;"élémentaire";"0342231R";NA;NA;NA;NA;"school";"public";NA;"2022-04-02T17:03:10Z";"""name""=>""École primaire Michel de l'Hospital"", ""amenity""=>""school"", ""osm_uid""=>""0"", ""ref:UAI""=>""0342231R"", ""osm_user""=>"""", ""way_area""=>""4533.35"", ""school:FR""=>""élémentaire"", ""description""=>""canton 3 circonscription 9"", ""osm_version""=>""7"", ""operator:type""";1010;1
388561026;"Rue Édouard Villalonga";"175";"École maternelle Sarah Bernhardt";NA;NA;"maternelle";"0341952M";NA;NA;NA;NA;"school";"public";NA;"2023-01-23T16:55:32Z";"""name""=>""École maternelle Sarah Bernhardt"", ""phone""=>""+33467223912"", ""amenity""=>""school"", ""osm_uid""=>""0"", ""ref:UAI""=>""0341952M"", ""osm_user""=>"""", ""way_area""=>""2543.89"", ""school:FR""=>""maternelle"", ""addr:street""=>""Rue Édouard Villalonga"", ""osm_version""=>""6""";1011;1
381607607;NA;NA;"École maternelle Sergueï Prokofiev";"yes";NA;"maternelle";"0341446M";NA;NA;NA;NA;"school";"public";NA;"2020-10-29T13:07:06Z";"""name""=>""École maternelle Sergueï Prokofiev"", ""phone""=>""+33467026635"", ""amenity""=>""school"", ""osm_uid""=>""0"", ""ref:UAI""=>""0341446M"", ""osm_user""=>"""", ""way_area""=>""1918.94"", ""school:FR""=>""maternelle"", ""wheelchair""=>""yes"", ""osm_version""=>""5"", ""operator:type""=";1012;1
427953110;"Avenue de la Pompignane";"501";"École maternelle Louise Michel";NA;NA;"maternelle";"0340548L";NA;NA;NA;NA;"school";"public";NA;"2020-10-29T13:07:08Z";"""name""=>""École maternelle Louise Michel"", ""phone""=>""+33 467657372"", ""amenity""=>""school"", ""osm_uid""=>""0"", ""ref:UAI""=>""0340548L"", ""osm_user""=>"""", ""way_area""=>""3305.87"", ""school:FR""=>""maternelle"", ""addr:street""=>""Avenue de la Pompignane"", ""osm_version""=>""3""";1013;1
427814230;"Boulevard d'Antigone";"446";"École maternelle Aristote";"yes";NA;"maternelle";"0341690C";NA;NA;NA;NA;"school";"public";NA;"2020-10-29T13:07:08Z";"""name""=>""École maternelle Aristote"", ""phone""=>""+33467654903"", ""amenity""=>""school"", ""osm_uid""=>""0"", ""ref:UAI""=>""0341690C"", ""osm_user""=>"""", ""way_area""=>""1801.1"", ""school:FR""=>""maternelle"", ""wheelchair""=>""yes"", ""addr:street""=>""Boulevard d'Antigone"", ""osm_ve";1014;1
427952332;NA;NA;"École maternelle Vasco de Gama";NA;NA;"maternelle";"0340841E";NA;NA;NA;NA;"school";"public";NA;"2020-10-29T13:07:08Z";"""name""=>""École maternelle Vasco de Gama"", ""amenity""=>""school"", ""osm_uid""=>""0"", ""ref:UAI""=>""0340841E"", ""osm_user""=>"""", ""way_area""=>""1708.17"", ""school:FR""=>""maternelle"", ""description""=>""canton 3 circonscription 2"", ""osm_version""=>""6"", ""operator:type""=>""pub";1015;1
427617812;NA;NA;"École primaire Olympe de Gouges";NA;NA;"élémentaire";"0342248J";NA;NA;NA;NA;"school";"public";NA;"2021-11-15T22:41:19Z";"""name""=>""École primaire Olympe de Gouges"", ""phone""=>""+33467923552"", ""amenity""=>""school"", ""osm_uid""=>""0"", ""ref:UAI""=>""0342248J"", ""osm_user""=>"""", ""way_area""=>""5816.15"", ""school:FR""=>""élémentaire"", ""description""=>""canton 4 circonscription 2"", ""osm_version""=";1016;1
